"airport_code","airport_name","is_show"
ADD,아디스아바바,Y
AKJ,아사히카와,Y
AKL,오클랜드,Y
ALA,알마티,Y
AMS,암스테르담,Y
ANC,앵커리지,Y
AOJ,아오모리,Y
ATH,아테네,Y
ATL,애틀랜타,Y
AUH,아부다비,Y
AXT,아키타,Y
BCN,바르셀로나,Y
BEY,베이루트,Y
BHK,부하라,Y
BKI,코타키나발루,Y
BKK,방콕(수안나폼),Y
BNE,브리즈번,Y
BOM,뭄바이,Y
BOS,보스턴,Y
BSL,유로에어포트바젤물하우스프라이부르그,Y
BTH,바탐,Y
BWN,반다르스리,Y
CAI,카이로,Y
CAN,광저우,Y
CDG,파리,Y
CEB,막단,Y
CEI,치앙라이,Y
CGK,자카르타(수카르노하타)국제공항,Y
CGO,정저우,Y
CGQ,장춘,Y
CJJ,청주,Y
CJU,제주,Y
CKG,충칭,Y
CNS,케언스,Y
CNX,치앙마이,Y
CRK,클라크국제공항,Y
CSX,창사,Y
CTS,삿포로,Y
CTU,청두(성도),Y
CXR,나트랑,Y
DAD,다낭,Y
DEL,델리,Y
DFW,댈러스,Y
DLC,대련,Y
DLI,달랏,Y
DMK,방콕,Y
DOH,도하,Y
DPS,덴파사(응우라라이),Y
DTW,디트로이트,Y
DXB,두바이,Y
FCO,로마,Y
FEG,페르가나,Y
FRA,프랑크푸르트,Y
FSZ,시즈오카,Y
FUK,후쿠오카,Y
GLA,글래스고,Y
GMP,김포,Y
GUM,괌,Y
HAK,하이커우,Y
HAN,하노이,Y
HEL,헬싱키,Y
HFE,허페이,Y
HGH,항저우,Y
HIJ,히로시마,Y
HKD,하코다테,Y
HKG,홍콩,Y
HKT,푸켓,Y
HND,하네다,Y
HNL,호놀룰루,Y
HPH,카트비,Y
HRB,하얼빈,Y
HSG,사가,Y
IAD,워싱톤,Y
IBR,이바라키,Y
IKT,이르쿠츠크,Y
ISG,이시가키,Y
IST,이스탄불,Y
JFK,뉴욕,Y
JHB,조호바루,Y
JMU,가목사,Y
KBV,카라비,Y
KHH,가오슝,Y
KHV,하바로프스크,Y
KIJ,니가타,Y
KIX,간사이,Y
KKJ,기타규슈,Y
KLO,칼리보,Y
KMG,쿤밍,Y
KMI,미야자키,Y
KMJ,구마모토,Y
KMQ,고마쓰,Y
KOJ,가고시마,Y
KTM,카트만두,Y
KUH,구시로,Y
KUL,쿠알라룸푸르,Y
KWE,꾸이양,Y
KWL,계림,Y
LAS,라스베이거스,Y
LAX,로스앤젤레스,Y
LED,상트페테르부르크,Y
LHR,런던히드로,Y
LPQ,루앙프라방,Y
MAD,마드리드,Y
MDG,목단강,Y
MEX,멕시코시티,Y
MFM,마카오,Y
MLE,말레,Y
MMB,메만베쓰,Y
MMJ,마쓰모또,Y
MMY,미야코,Y
MNL,마닐라,Y
MRS,마르세유,Y
MSP,미니애폴리스,Y
MUC,뮌헨,Y
MWX,무안,Y
MXP,밀라노,Y
MYJ,마쓰야마,Y
NAN,난디,Y
NCU,누쿠스,Y
NGO,나고야,Y
NGS,나가사키,Y
NKG,남경,Y
NNG,난닝(남령),Y
NRT,나리타,Y
OIT,오이타,Y
OKA,오키나와,Y
OKJ,오카야마,Y
ORD,시카고,Y
OSL,오슬로,Y
OVB,노보시빌스크,Y
PEK,베이징,Y
PKC,페트로파블롭스크-캄챠츠키,Y
PNH,프놈펜,Y
PPS,푸에르토프린세사,Y
PQC,푸꾸옥,Y
PRG,프라하,Y
PUS,김해,Y
PVG,푸동,Y
REP,씨엠립,Y
RGN,양곤,Y
RIX,리가,Y
RMQ,타이중,Y
ROR,코로르,Y
SDJ,센다이,Y
SEA,시애틀,Y
SFO,샌프란시스코,Y
SGN,호치민,Y
SHE,심양,Y
SHI,시모지시마,Y
SIN,싱가포르,Y
SJW,석가장,Y
SPN,사이판,Y
SVO,셰레메티예보(모스크바),Y
SYD,시드니,Y
SYO,쇼나이,Y
SYX,산야,Y
SZX,선전(심천),Y
TAE,대구,Y
TAG,팡라로,Y
TAK,다카마쓰,Y
TAO,청도,Y
TAS,타슈켄트,Y
TBS,조지아,Y
TLV,텔아비브,Y
TNA,지난,Y
TOY,도야마,Y
TPE,타이완타오위안국제공항,Y
TSE,아스타나,Y
TSN,천진,Y
TXN,황산,Y
UBJ,우베,Y
ULN,울란바토르,Y
URC,우루무치,Y
UUD,울란우드,Y
UUS,사할린,Y
VCE,베니스,Y
VIE,비엔나,Y
VTE,비엔티안,Y
VVO,블라디보스톡,Y
WAW,바르샤바,Y
WEH,위해,Y
WNZ,원저우,Y
WOS,원산,Y
WUH,우한,Y
XIY,시안,Y
XMN,샤먼,Y
YGJ,요나고,Y
YKS,야쿠츠크,Y
YNJ,연길,Y
YNT,연대,Y
YNY,양양,Y
YNZ,옌청,Y
YVR,밴쿠버,Y
YYZ,토론토,Y
ZAG,자그레브,Y
ZRH,취리히,Y
